address,GEOID
8500 Dixon Street,220710076051
9005 Olive Street,220710075012
9000 Oleander Street,220710075012
8729-8731 Olive Street,220710075022
3304 Monroe Street,220710075022
9325 Forshey Street,220710075011
3210 Delachaise St,220710103002
2525 S Johnson St,220710086001
3609 First St.,220710086001
3317 Fourth St,220710094004
2814 S. Johnson St.,220710094004
2616 S. Johnson,220710094004
3926 Second St,220710069002
60 Morrison Ct.,220710017253
4716-18 Rosemont,220710017224
4749-61 Rosemont,220710017224
4737 Virgilian,220710017203
5130 Pauline,220710017021
1653-59 N. Broad,220710037024
2609 Onzaga St.,220710037024
1813-15 Dumaine St.,220710044013
1811 Dumaine St.,220710040002
4119 N Johnson,220710011001
2439 Congress,220710016001
2542 Benton,220719801001
2639 Caffin Ave.,220719801001
2640 Lamanche St.,220719801001
5842 Whipple,220710009021
5843 N Dorgenois,220710009021
5812 Whipple,220710009023
1750 Tennessee,220710007013
1752 Tennessee,220710007013
1901 Caffin Ave,220710009033
1509 Gallier,220710013011
822 Bartholomew,220710136001
4817 Dauphine St.,220710008003
5227 Chartres St,220710008003
1314 Elysian Fields Avenue,220710027001
2221 St Claude,220710019003
5400 Douglas St.,220710008002
